root_id,region,nt_type
720575940599457990,optic_lobe,ACH
720575940599763910,optic_lobe,ACH
720575940600623020,optic_lobe,GLUT
720575940602309600,ventral_cord,ach
720575940602564320,central_complex,ACH
720575940602720940,antennal_lobe,ach
720575940602747360,central_complex,ACH
720575940602790610,optic_lobe,ACH
720575940602815200,central_complex,ACH
720575940602857440,optic_lobe,ACH
720575940602864300,ventral_cord,ach
720575940602964140,central_complex,ACH
720575940603067360,optic_lobe,ACH
720575940603077600,optic_lobe,ach
720575940603082720,central_complex,GLUT
720575940603094700,central_complex,GABA
720575940603183840,antennal_lobe,ach
720575940603186790,central_complex,ACH
720575940603235500,central_complex,GABA
720575940603250860,central_complex,ACH
720575940603268780,optic_lobe,ACH
720575940603295200,optic_lobe,GLUT
720575940603318240,optic_lobe,ACH
720575940603365980,optic_lobe,ACH
720575940603372460,optic_lobe,ACH
720575940603390380,optic_lobe,ACH
720575940603439020,optic_lobe,GABA
720575940603449010,antennal_lobe,ACH
720575940603457760,optic_lobe,GABA
720575940603460640,ventral_cord,ACH
720575940603479910,ventral_cord,ACH
720575940603495340,optic_lobe,ACH
720575940603545190,ventral_cord,ACH
720575940603548640,central_complex,GABA
720575940603557920,optic_lobe,ACH
720575940603580960,ventral_cord,ACH
720575940603587500,central_complex,ACH
720575940603600230,ventral_cord,ACH
720575940603616800,central_complex,ACH
720575940603673120,central_complex,ACH
720575940603708350,ventral_cord,ach
720575940603727840,central_complex,GABA
720575940603747360,central_complex,ACH
720575940603763680,optic_lobe,ach
720575940603765280,central_complex,ach
720575940603767980,optic_lobe,ACH
720575940603784620,optic_lobe,GLUT
720575940603797420,optic_lobe,ACH
720575940603804350,central_complex,GABA
720575940603814060,ventral_cord,GABA
720575940603817900,optic_lobe,ACH
720575940603825120,central_complex,GLUT
720575940603829950,central_complex,GABA
720575940603851180,optic_lobe,ach
720575940603853090,optic_lobe,GLUT
720575940603860000,optic_lobe,ACH
720575940603870380,central_complex,ACH
720575940603882720,central_complex,ACH
720575940603886880,optic_lobe,ACH
720575940603893280,optic_lobe,ACH
720575940603911340,antennal_lobe,ACH
720575940603925280,central_complex,ACH
720575940603932640,optic_lobe,GLUT
720575940603974880,central_complex,ACH
720575940603987390,optic_lobe,ACH
720575940603989420,optic_lobe,ACH
720575940604008160,central_complex,GABA
720575940604023980,optic_lobe,ACH
720575940604038880,optic_lobe,ACH
720575940604050110,central_complex,ACH
720575940604058540,optic_lobe,ACH
720575940604065470,central_complex,ACH
720575940604076990,optic_lobe,ACH
720575940604087230,optic_lobe,GLUT
720575940604094240,optic_lobe,ACH
720575940604101310,optic_lobe,GLUT
720575940604102880,central_complex,ACH
720575940604103200,central_complex,ACH
720575940604125920,optic_lobe,ACH
720575940604132710,central_complex,ACH
720575940604139180,central_complex,ACH
720575940604150560,central_complex,GABA
720575940604151520,optic_lobe,ACH
720575940604180140,optic_lobe,ACH
720575940604191200,ventral_cord,ach
720575940604195360,central_complex,ACH
720575940604201830,central_complex,GABA
720575940604209580,optic_lobe,GABA
720575940604240230,central_complex,ACH
720575940604241510,antennal_lobe,SER
720575940604249790,central_complex,ACH
720575940604265440,optic_lobe,ach
720575940604281120,optic_lobe,ACH
720575940604292710,central_complex,ACH
720575940604324320,optic_lobe,ACH
720575940604332460,central_complex,ACH
720575940604341280,optic_lobe,ACH
720575940604349630,central_complex,ach
720575940604372070,central_complex,GABA
720575940604427180,central_complex,GLUT
720575940604436720,optic_lobe,ACH
720575940604447520,optic_lobe,ACH
720575940604455340,optic_lobe,GLUT
720575940604457200,optic_lobe,ACH
720575940604458720,central_complex,ACH
720575940604470240,central_complex,GABA
720575940604477100,central_complex,GLUT
720575940604479590,central_complex,DA
720575940604479660,central_complex,GABA
720575940604480870,optic_lobe,GABA
720575940604481760,central_complex,GLUT
720575940604483040,central_complex,ACH
720575940604486880,central_complex,GLUT
720575940604500960,optic_lobe,ACH
720575940604508960,optic_lobe,ACH
720575940604516710,optic_lobe,GABA
720575940604521440,optic_lobe,GABA
720575940604529580,optic_lobe,ACH
720575940604550590,central_complex,ACH
720575940604553150,optic_lobe,ACH
720575940604561510,optic_lobe,ACH
720575940604565280,optic_lobe,ACH
720575940604565350,central_complex,GLUT
720575940604579500,optic_lobe,ACH
720575940604585760,optic_lobe,ACH
720575940604590880,optic_lobe,ACH
720575940604592160,optic_lobe,ACH
720575940604605030,optic_lobe,GABA
720575940604614060,optic_lobe,GABA
720575940604630240,central_complex,ACH
720575940604630560,optic_lobe,ACH
720575940604640480,optic_lobe,ACH
720575940604662700,central_complex,ach
720575940604663520,central_complex,ach
